Task_ID,Req_CPU,Duration,Status,Assigned_Cluster,Offload_Type,Latency_Seconds
1,3.4,26,Deployment Successful,3,Local,0.0705
2,0.5,28,Deployment Successful,2,Local,0.0762
3,0.9,11,Deployment Successful,1,Local,0.0942
4,2.4,11,Deployment Successful,2,Local,0.0651
5,3.0,13,Deployment Successful,1,Local,0.0578
6,3.0,30,Deployment Failed,N/A,Failed,0.066
7,0.6,29,Deployment Successful,2,Local,0.0944
8,0.7,25,Deployment Successful,2,Local,0.065
9,0.9,18,Deployment Successful,2,Local,0.0658
10,1.4,16,Deployment Successful,3,Local,0.0589
11,1.3,13,Deployment Successful,1,Local,0.0679
12,3.0,30,Deployment Successful,3,Local,0.0762
13,1.3,20,Deployment Successful,1,Local,0.0649
14,2.3,15,Deployment Successful,2,Local,0.066
15,1.6,27,Deployment Successful,1,Local,0.0631
16,1.4,26,Deployment Successful,1,Local,0.0669
17,3.0,20,Deployment Successful,2,Vicinity_Offload,6.9229
18,3.3,22,Deployment Failed,N/A,Failed,0.0409
19,2.4,19,Deployment Successful,3,Vicinity_Offload,0.0933
20,1.6,10,Deployment Successful,3,Local,0.0519
21,1.6,16,Deployment Successful,3,Local,0.0719
22,2.2,27,Deployment Successful,2,Vicinity_Offload,4.4109
23,1.7,30,Deployment Successful,3,Local,0.0529
24,1.1,29,Deployment Successful,1,Local,0.0656
25,3.0,15,Error,N/A,Error,0
26,2.3,19,Deployment Successful,1,Local,2.6602
27,2.5,17,Error,N/A,Error,0
28,1.1,28,Deployment Successful,3,Local,2.2919
29,2.3,16,Error,N/A,Error,0
30,0.7,14,Deployment Successful,1,Local,3.3669
31,1.3,15,Deployment Successful,1,Local,3.3994
32,1.0,27,Deployment Successful,3,Local,2.1725
33,1.0,24,Error,N/A,Error,0
34,0.9,27,Deployment Successful,1,Local,3.2947
35,3.5,24,Deployment Failed,N/A,Failed,3.6741
36,3.2,21,Deployment Failed,N/A,Failed,2.206
37,1.9,20,Deployment Successful,1,Local,2.3161
38,3.1,23,Deployment Failed,N/A,Failed,2.0648
39,3.4,20,Deployment Failed,N/A,Failed,2.4517
40,2.4,19,Error,N/A,Error,0
41,0.9,22,Deployment Successful,1,Local,2.333
42,2.9,19,Deployment Successful,1,Local,2.0791
43,1.0,27,Deployment Successful,3,Local,2.1328
44,1.9,28,Deployment Successful,1,Local,3.3779
45,1.0,22,Error,N/A,Error,0
46,1.0,14,Deployment Successful,3,Local,3.0498
47,2.4,17,Deployment Failed,N/A,Failed,2.189
48,0.9,18,Deployment Successful,1,Local,3.4879
49,1.8,27,Deployment Successful,3,Local,2.0298
50,2.7,14,Deployment Failed,N/A,Failed,1.7634
