Task_ID,Req_CPU,Duration,Status,Assigned_Cluster,Offload_Type,Latency_Seconds
1,1.8,19,Deployment Successful,3,Local,0.055
2,2.0,11,Deployment Successful,2,Local,0.0749
3,1.9,20,Deployment Successful,1,Local,0.067
4,2.8,30,Deployment Successful,3,Local,0.0542
5,0.7,12,Deployment Successful,1,Local,0.0631
6,2.2,29,Deployment Successful,2,Local,0.055
7,3.4,10,Deployment Successful,2,Vicinity_Offload,7.0661
8,2.1,27,Deployment Successful,2,Vicinity_Offload,7.1493
9,3.1,13,Deployment Successful,1,Vicinity_Offload,7.0269
10,1.6,21,Deployment Successful,3,Local,0.0746
11,3.4,20,Deployment Successful,3,Local,0.0769
12,3.3,24,Deployment Successful,1,Vicinity_Offload,3.0784
13,2.9,19,Deployment Successful,1,Vicinity_Offload,0.6123
14,3.0,12,Deployment Failed,N/A,Failed,0.0559
15,1.6,14,Deployment Successful,1,Local,0.0656
16,2.9,30,Deployment Failed,N/A,Failed,0.0599
17,1.3,27,Deployment Successful,3,Local,0.0724
18,1.0,25,Deployment Successful,3,Local,0.0757
19,3.2,12,Deployment Successful,3,Vicinity_Offload,0.6674
20,3.0,22,Deployment Successful,2,Local,0.0601
21,1.1,18,Deployment Successful,3,Local,0.0669
22,1.0,18,Deployment Successful,2,Local,0.0739
23,1.6,16,Deployment Successful,1,Local,0.0699
24,0.8,15,Deployment Successful,1,Local,0.0669
25,2.2,19,Deployment Successful,1,Local,0.0812
26,1.2,13,Deployment Successful,3,Local,0.0669
27,3.2,30,Deployment Successful,3,Local,0.0799
28,0.7,15,Deployment Successful,2,Local,0.071
29,2.5,14,Deployment Successful,2,Local,0.0741
30,2.4,14,Deployment Successful,1,Vicinity_Offload,4.441
31,2.3,12,Deployment Successful,1,Vicinity_Offload,4.1972
32,2.9,30,Deployment Successful,1,Vicinity_Offload,3.5735
33,1.7,21,Deployment Successful,3,Local,0.0769
34,2.5,19,Deployment Successful,2,Local,0.0528
35,3.4,27,Deployment Successful,3,Local,0.0666
36,0.6,27,Deployment Successful,2,Local,0.0739
37,1.2,18,Deployment Successful,1,Local,0.069
38,0.7,30,Deployment Successful,2,Local,0.076
39,2.6,17,Deployment Failed,N/A,Failed,0.0504
40,3.1,23,Deployment Failed,N/A,Failed,0.0569
41,2.6,17,Deployment Successful,2,Local,0.0769
42,0.7,23,Deployment Successful,1,Local,0.0684
43,1.8,19,Deployment Successful,1,Local,0.0741
44,0.6,23,Deployment Successful,3,Local,0.0651
45,1.0,15,Deployment Successful,3,Local,0.0739
46,3.5,12,Deployment Successful,3,Local,0.0669
47,1.2,28,Deployment Successful,2,Local,0.0616
48,2.5,19,Deployment Successful,2,Local,0.0691
49,2.2,26,Deployment Successful,1,Vicinity_Offload,0.7656
50,1.9,20,Deployment Successful,3,Local,0.0608
