Minute,Requests,Required_CPU,Allocated_CPU,Replicas,Status,Worker_Distribution
1,740,7.4,8.0,8,Scaled LOCAL: 2_c1 + Scaled LOCAL: 1_c1 + Scaled LOCAL: 1_c1 + Scaled LOCAL: 1_c1 + Scaled LOCAL: 1_c1 + Scaled VICINITY: 4_c2 + Scaled VICINITY: 4_c2,2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity) | 4_c2(vicinity)
2,624,6.24,7.0,7,Scaled DOWN: vicinity,4_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local)
3,859,8.59,9.0,9,Scaled VICINITY: 4_c2 + Scaled VICINITY: 3_c2,4_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity) | 3_c2(vicinity)
4,1010,10.1,11.0,11,Scaled VICINITY: 3_c2 + Scaled VICINITY: 3_c2,4_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity)
5,1034,10.34,11.0,11,Stable,4_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity)
6,1056,10.56,11.0,11,Stable,4_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity)
7,786,7.86,10.0,10,Scaled DOWN: vicinity,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local)
8,708,7.08,10.0,10,Stable,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local)
9,637,6.37,10.0,10,Stable,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local)
10,917,9.17,10.0,10,Stable,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local)
11,1003,10.03,11.0,11,Scaled VICINITY: 4_c2,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity)
12,1005,10.05,11.0,11,Stable,4_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 3_c2(vicinity) | 2_c1(local) | 2_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 1_c1(local) | 4_c2(vicinity)
